keyword,people_count,money_count,paper_count,people_norm,money_norm,paper_norm,momentum_score
compliance,88,0.0,0.0,0.6744186046511628,0.0,0.0,0.26976744186046514
doe,56,0.0,0.0,0.4263565891472868,0.0,0.0,0.17054263565891473
energy,29,0.0,0.0,0.21705426356589147,0.0,0.0,0.08682170542635659
epa,130,0.0,0.0,1.0,0.0,0.0,0.4
ferc,1,0.0,0.0,0.0,0.0,0.0,0.0
grid,6,0.0,0.0,0.03875968992248062,0.0,0.0,0.015503875968992248
nuclear,8,0.0,0.0,0.05426356589147287,0.0,0.0,0.021705426356589147
puc,2,0.0,0.0,0.007751937984496124,0.0,0.0,0.0031007751937984496
regulatory,48,0.0,0.0,0.3643410852713178,0.0,0.0,0.14573643410852713
renewable,2,0.0,0.0,0.007751937984496124,0.0,0.0,0.0031007751937984496
transmission,8,0.0,0.0,0.05426356589147287,0.0,0.0,0.021705426356589147
utility,26,0.0,0.0,0.1937984496124031,0.0,0.0,0.07751937984496125
